渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028888792,12314539036,12500242,1097,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,1,1028888792YK,226.688496,-11.904384,293.40,0.0000,0.049894,2021/12/08,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,10737651795,12481866,1097,雀巢脱脂高钙奶粉袋装400g,Dairy,5,1028888792YK,1691.441607,-0.014393,416.00,0.0000,0.000009,2021/12/08,39.1730,34.666667,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12274147641,12501697,1097,雀巢咖啡特调果萃系列沁风桃桃风味即溶咖啡饮品@10(5x15g)CN,Coffee,7,1028888792YK,378.317912,-20.150088,70.00,0.0000,0.050569,2021/12/08,7.5100,7.00,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,11738016413,12441219,1097,星巴克深度烘焙精品速溶咖啡23克（内含10条）,Coffee,1,1028888792YK,207.286839,-0.079161,255.00,0.0000,0.000382,2021/12/08,36.0050,31.875,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,140159806,,1097,雀巢咖啡礼盒醇品200g+咖啡伴侣400g,,14,1028888792YK,,,,,,2021/12/08,110.2120,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887306,11684453525,,1098,康多乐鸡肉肝蔬菜味成犬全价犬粮8kg,,4,1028887306YKNPP,,,,,,2021/12/08,130.8000,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887306,11684453536,,1098,康多乐牛肉肝蔬菜味成犬全价犬粮8kg,,6,1028887306YKNPP,,,,,,2021/12/08,130.8000,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,10581890191,,1098,雀巢脆香牛奶燕麦片绿茶味180g,,1,1028887303YK,,,,,,2021/12/08,22.5670,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887303,12274250358,12501675,1098,雀巢咖啡特调果萃系列热情百香果风味即溶咖啡饮品@10(5x15g)CN,Coffee,1,1028887303YK,56.924000,0.000000,70.00,0.0000,0.0000,2021/12/08,7.9100,7.00,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028887303,12314539036,12500242,1098,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,2,1028887303YK,453.376991,-23.808769,293.40,0.0000,0.049894,2021/12/08,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028887303,11631130977,12430466,1098,雀巢（Nestle）金牌挂耳咖啡 手冲大师 深度烘焙 45g,Coffee,1,1028887303YK,146.376000,0.000000,180.00,0.0000,0.0000,2021/12/08,16.9500,15.00,,,,,," ",,
