渠道,客户名称,"date_format(`订单日期`, '%Y%m%d')",客户PO,客户产品码,雀巢产品码,区域,产品名称,Nestle_BU,数量,SAP_PO,C4开票价,价差,箱价,TPP扣点,实际扣点,"date_format(`客户要求送货日`, '%Y/%m/%d')",客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,20211202,1028835617,12316196118,12498226,1095,雀巢爱思培学生力跃奶粉350g,Dairy,1,1028835617YK,356.181600,-18.703600,461.00,0.000000,0.049892,2021/12/04,41.2450,38.416667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211202,1028835617,11663157360,12376638,1095,雀巢NIDO有机全脂奶粉900g,Dairy,1,1028835617YK,1385.692800,0.000000,1704.00,0.000000,0.000000,2021/12/04,160.4600,142.00,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,10733404800,12453276,1095,雀巢金牌咖啡至醇浓郁100g,Coffee,1,1028835617YK,633.484239,0.001439,779.00,0.000000,-0.000002,2021/12/04,73.3560,64.916667,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12232655224,12462258,1095,雀巢金牌手冲大师富士·雅酌研磨咖啡63g,Coffee,1,1028835617YK,315.524479,0.002879,388.00,0.000000,-0.000009,2021/12/04,36.5370,32.333333,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,124090533,12478718,1095,雀巢咖啡1+2原味双豆拼配条装即溶咖啡 105g(7条x15g),Coffee,1,1028835617YK,101.653598,0.003598,125.00,0.000000,-0.000035,2021/12/04,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,11738016046,12470632,1095,星巴克焦糖风味拿铁精品即溶咖啡饮品86克（内含4条）,Coffee,2,1028835617YK,403.016163,-0.331037,248.00,0.000000,0.000821,2021/12/04,28.0010,24.80,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12282378505,12467135,1095,雀巢鹰唛炼奶芝士味100g,Dairy,1,1028835617YK,162.645757,0.005757,200.00,0.000000,-0.000035,2021/12/04,9.4170,8.333333,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12174291489,12461587,1095,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,2,1028835617YK,731.880000,0.000000,450.00,0.000000,0.000000,2021/12/04,42.3750,37.50,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,135000912,12326620,1095,雀巢咖啡 馆藏系列 臻享白咖啡580g(20条x29g),Coffee,2,1028835617YK,951.452636,0.008636,585.00,0.000000,-0.000009,2021/12/04,41.3160,36.5625,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12333409373,12502717,1095,雀巢咖啡绝对深黑95%深烘速溶咖啡14.4g,Coffee,3,1028835617YK,311.049000,1.219800,127.00,0.000000,-0.003937,2021/12/04,9.6050,8.466667,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12314539036,12500242,1095,雀巢怡养高蛋白高钙中老年奶粉675g,Dairy,1,1028835617YK,226.688496,-11.904384,293.40,0.000000,0.049894,2021/12/04,52.5000,48.90,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211202,1028835617,11829185855,12443626,1095,星巴克Origami 佛罗娜便携式滴滤咖啡（研磨咖啡）45克（内含5包）（深度烘培）,Coffee,1,1028835617YK,172.399839,0.001439,212.00,0.000000,-0.000008,2021/12/04,39.9270,35.333333,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,144750705,12453277,1095,雀巢(NESTLE)金 牌GOLD 瑞士原装进口 进口速溶咖啡50g,Coffee,5,1028835617YK,1752.453196,0.007196,431.00,0.000000,-0.000004,2021/12/04,40.5860,35.916667,,,,,," ",,
01 NKA,家乐福,20211202,1028835617,12264536057,12481583,1095,雀巢怡运全脂营养奶粉袋装1KG,Dairy,1,1028835617YK,334.226639,0.001439,411.00,-0.048205,-0.007760,2021/12/04,58.0540,51.375,,,,,," ",,
01 NKA,家乐福,20211202,1028835618,12333821114,,1095,ONE三文鱼配方成年期全价猫粮12x400g,,1,1028835618YKNPP,,,,,,2021/12/04,17.5270,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211202,1028835015,11272864621,12410141,1094,雀巢可可味滋滋营养早餐谷物食品330g,CPW,1,1028835015YK,174.838000,-16.264000,235.00,0.000000,0.085106,2021/12/04,24.2950,23.50,,,,,,价格差异,不符合价差检查标准,
